100081,INF740K01318,-,DSP BlackRock Balanced Fund- Regular Plan - Growth,146.096,144.635,146.096,26-Feb-2018
100082,INF740K01326,INF740K01334,DSP BlackRock Balanced Fund- Regular Plan -Dividend,25.325,25.072,25.325,26-Feb-2018
101069,INF966L01242,INF966L01259,Escorts Balanced Fund-Dividend Option,19.5038,19.3088,19.5038,26-Feb-2018
120818,INF966L01531,INF966L01549,Escorts Balanced Fund-Dividend Option-Direct Plan,19.7085,19.5114,19.7085,26-Feb-2018
101070,INF966L01267,-,Escorts Balanced Fund-Growth Option,130.6819,129.3751,130.6819,26-Feb-2018
120819,INF966L01556,-,Escorts Balanced Fund-Growth Option-Direct Plan,131.4353,130.1209,131.4353,26-Feb-2018
118547,INF090I01GA2,INF090I01GB0,Franklin India BALANCED FUND - Direct - Dividend,24.8453,24.5968,24.8453,26-Feb-2018
118546,INF090I01FZ1,-,Franklin India BALANCED FUND - Direct - Growth,121.0987,119.8877,121.0987,26-Feb-2018
100549,INF090I01825,INF090I01833,Franklin India Balanced Fund-Dividend Plan,23.3037,23.0707,23.3037,26-Feb-2018
100550,INF090I01817,-,Franklin India Balanced Fund-Growth Plan,114.5829,113.4371,114.5829,26-Feb-2018
100121,INF179K01376,INF179K01384,HDFC Balanced Fund - Dividend Option,31.9260,31.6070,31.9260,26-Feb-2018
100122,INF179K01392,-,HDFC Balanced Fund - Growth Option,149.7550,148.2570,149.7550,26-Feb-2018
118932,INF179K01UX2,INF179K01UY0,HDFC Balanced Fund -Direct Plan - Dividend Option,35.1020,34.7510,35.1020,26-Feb-2018
118933,INF179K01UZ7,-,HDFC Balanced Fund -Direct Plan - Growth Option,156.6900,155.1230,156.6900,26-Feb-2018
100900,-,-,HDFC Children Gift Fund-Investment,115.3580,111.8970,115.3580,26-Feb-2018
100899,-,-,HDFC Children Gift Fund-Savings,44.0722,42.7500,44.0722,18-Oct-2017
119066,-,-,HDFC Childrens Gift Fund Investment Plan-Direct Plan,119.9920,116.3920,119.9920,26-Feb-2018
119067,-,-,HDFC Childrens Gift Fund Savings Plan-Direct Plan,45.8807,44.5043,45.8807,18-Oct-2017
101978,INF179K01AT2,INF179K01AU0,HDFC Prudence Fund - Dividend Option,31.6000,31.2840,31.6000,26-Feb-2018
101977,INF179K01AV8,-,HDFC Prudence Fund - Growth Option,510.3920,505.2880,510.3920,26-Feb-2018
118990,INF179K01YA2,INF179K01YB0,HDFC Prudence Fund -Direct Plan - Dividend Option,37.3030,36.9300,37.3030,26-Feb-2018
118991,INF179K01YC8,-,HDFC Prudence Fund -Direct Plan - Growth Option,531.9520,526.6320,531.9520,26-Feb-2018
136464,INF179KB1MH6,-,HDFC Retirement Savings Fund - Hybrid - Equity Plan - Direct Plan,16.5060,16.3410,16.5060,26-Feb-2018
136463,INF179KB1MI4,-,HDFC Retirement Savings Fund - Hybrid - Equity Plan - Regular Plan,15.9650,15.8050,15.9650,26-Feb-2018
120251,INF109K01Y07,-,ICICI Prudential Balanced Fund - Direct Plan -  Growth,136.59,135.22,136.59,26-Feb-2018
131453,INF109KA1Y19,INF109KA1Y01,ICICI Prudential Balanced Fund - Direct Plan - Half Yearly Dividend,13.64,13.50,13.64,26-Feb-2018
120252,INF109K01X81,INF109K01X99,ICICI Prudential Balanced Fund - Direct Plan - Monthly Dividend,31.67,31.35,31.67,26-Feb-2018
136114,INF109KB1QM2,INF109KB1QL4,ICICI Prudential Balanced Fund - Direct Plan -Annual Dividend,14.33,14.19,14.33,26-Feb-2018
100356,INF109K01480,-,ICICI Prudential Balanced Fund - Growth,129.01,127.72,129.01,26-Feb-2018
131452,INF109KA1X93,INF109KA1X85,ICICI Prudential Balanced Fund - Half Yearly Dividend,13.13,13.00,13.13,26-Feb-2018
100355,INF109K01DX5,INF109K01498,ICICI Prudential Balanced Fund - Monthly Dividend,25.09,24.84,25.09,26-Feb-2018
136113,INF109KB1QK6,INF109KB1QJ8,ICICI Prudential Balanced Fund -Annual Dividend,13.89,13.75,13.89,26-Feb-2018
139972,INF397L01IZ8,INF397L01JA9,IDBI Prudence Fund Dividend Direct,11.6328,11.5165,11.6328,26-Feb-2018
139970,INF397L01JD3,INF397L01JE1,IDBI Prudence Fund Dividend Regular,11.3110,11.1979,11.3110,26-Feb-2018
139971,INF397L01JC5,-,IDBI Prudence Fund Growth Direct,12.2347,12.1124,12.2347,26-Feb-2018
139969,INF397L01JG6,-,IDBI Prudence Fund Growth Regular,11.9245,11.8053,11.9245,26-Feb-2018
140383,INF194KA1U64,INF194KA1U72,IDFC Balanced Fund-Direct Plan-Dividend,10.6594,10.6594,10.6594,26-Feb-2018
140382,INF194KA1U56,-,IDFC Balanced Fund-Direct Plan-Growth,11.7567,11.7567,11.7567,26-Feb-2018
140384,INF194KA1U23,INF194KA1U31,IDFC Balanced Fund-Regular Plan-Dividend,10.4027,10.4027,10.4027,26-Feb-2018
140381,INF194KA1U15,-,IDFC Balanced Fund-Regular Plan-Growth,11.4826,11.4826,11.4826,26-Feb-2018
130904,INF192K01HB8,-,JM Balanced Fund (Direct) - Annual Bonus Option,47.6422,47.6422,47.6422,26-Feb-2018
131477,INF192K01HJ1,INF192K01HK9,JM Balanced Fund (Direct) - Annual Dividend Option,33.9698,33.9698,33.9698,26-Feb-2018
133401,INF192K01GP0,-,JM Balanced Fund (Direct) - Bonus Option - Principal Units,48.6744,48.6744,48.6744,26-Feb-2018
120483,INF192K01BO4,INF192K01BP1,JM Balanced Fund (Direct) - Dividend Option,33.4281,33.4281,33.4281,26-Feb-2018
120484,INF192K01BQ9,-,JM Balanced Fund (Direct) - Growth Option,47.3806,47.3806,47.3806,26-Feb-2018
133409,INF192K01HV6,-,JM Balanced Fund (Direct) - Half Yearly Bonus Option - Principal Units,48.6744,48.6744,48.6744,26-Feb-2018
133402,INF192K01HH5,INF192K01HI3,JM Balanced Fund (Direct) - Half Yearly Dividend Option,34.3225,34.3225,34.3225,26-Feb-2018
133412,INF192K01HN3,INF192K01HO1,JM Balanced Fund (Direct) - Monthly Dividend Option,34.3187,34.3187,34.3187,26-Feb-2018
133411,INF192K01HZ7,-,JM Balanced Fund (Direct) - Quarterly Bonus Option - Principal Units,48.6744,48.6744,48.6744,26-Feb-2018
133406,INF192K01HR4,INF192K01HS2,JM Balanced Fund (Direct) - Quarterly Dividend Option,15.2146,15.2146,15.2146,26-Feb-2018
133407,INF192K01GZ9,-,JM Balanced Fund - Annual Bonus Option,46.3841,46.3841,46.3841,26-Feb-2018
131476,INF192K01HF9,INF192K01HG7,JM Balanced Fund - Annual Dividend Option,33.0665,33.0665,33.0665,26-Feb-2018
